Name;Category Normalized Citation Impact;% Documents in Top 1%;% Documents in Top 10%;Average Percentile;% Industry Collaborations;% International Collaborations;% Documents in Q1 Journals
USA;1.353454577;1.752540795;13.61574123;57.41357822;2.681515258;18.65842863;59.78342455
UNITED KINGDOM;1.309020001;1.636855029;13.05373692;57.0116643;2.703428306;31.2148269;56.29276615
CHINA MAINLAND;0.881895725;1.041115083;9.213428936;61.54405478;1.396447048;20.21793204;40.68864138
ENGLAND;1.33571449;1.701535051;13.33778153;56.77983264;2.948389389;31.5037303;56.69793847
GERMANY (FED REP GER);1.158004826;1.435509799;11.93819157;56.56528836;3.272529748;36.24812069;51.60424368
JAPAN;0.863683651;0.817996225;8.319705705;59.43367754;3.386401586;18.41834778;44.68379834
FRANCE;1.14248078;1.385599884;11.65039189;55.97546171;3.504609251;38.33815463;52.89490777
CANADA;1.269507978;1.585696701;12.69017325;55.52735958;2.163226707;33.89053768;55.10233096
ITALY;1.147559114;1.346076331;11.57542806;55.9924596;2.418583319;35.64937866;52.28524324
AUSTRALIA;1.276054755;1.648040179;12.97657254;54.2452967;1.537758408;36.05626832;50.82028307
SPAIN;1.089959057;1.218925065;10.75537194;56.57031858;2.117047563;37.15927283;52.90400298
INDIA;0.708750105;0.581454877;6.378729952;63.73664034;0.672977602;17.15674973;31.26829529
NETHERLANDS;1.464343521;2.088914304;15.52631908;50.76860235;4.13709048;42.86477529;60.61671508
SOUTH KOREA;0.888232117;0.877681898;8.316733869;60.38762588;3.807578062;25.03669231;43.4755451
RUSSIA;0.598837882;0.571446165;4.919486437;71.76729055;0.766033437;28.09723206;23.55396709
SWITZERLAND;1.548065699;2.370757651;16.31458939;51.15673619;6.1846103;52.8614007;59.05830496
BRAZIL;0.808287932;0.726097262;6.932367065;62.51542756;1.154657553;29.28406112;37.05187436
SWEDEN;1.355517932;1.803055048;14.32664756;50.28687115;4.279902598;45.1136597;55.29444341
POLAND;0.841789477;0.872322832;7.222560449;63.12414522;1.175667039;31.15918983;34.453201
BELGIUM;1.381332054;1.877680391;13.92631191;53.21585369;4.869559509;49.5070581;55.93356009
TAIWAN;0.865412159;0.77161918;8.171842861;58.61886459;1.928187641;21.61659928;47.46880465
SCOTLAND;1.35095439;1.794557045;13.67521517;54.65161122;2.468998033;32.75031734;57.73911677
TURKEY;0.739811906;0.66564711;6.306754773;65.50416828;1.185728842;18.65788722;26.87075217
ISRAEL;1.209604022;1.461177853;12.08744199;54.10999396;2.259976107;36.23965525;54.25017421
USSR;0.210234563;0.115337627;1.387778767;79.94411838;0.03499472;3.988569772;50
DENMARK;1.500432863;2.193752561;15.66165835;50.05581823;5.116386987;47.87104623;57.92610211
AUSTRIA;1.234128662;1.636301589;12.40722597;56.71031158;3.232972622;47.96155836;52.75057798
IRAN;0.839391072;0.832318815;8.205421253;60.35300974;0.187085393;21.92352605;27.76512727
FINLAND;1.239322514;1.58438736;12.85431773;51.99994097;2.548718688;42.1251854;53.07841231
NORWAY;1.327805654;1.782887342;13.75462715;51.70314507;4.383801884;46.36478128;52.29828943
GREECE;1.02425888;1.205585088;10.04404388;58.67348511;1.680503461;37.35304964;46.52257594
MEXICO;0.784684994;0.776962921;6.770218986;63.99015243;1.304874609;38.10451818;38.32112856
HONG KONG;1.357013282;1.923020568;14.42818954;51.43425551;1.71561046;30.33527502;54.07161314
SOUTH AFRICA;1.018971533;1.171124443;9.203276539;59.37067617;1.161337887;36.8985754;37.88402837
CZECH REPUBLIC;0.99816131;1.094110552;8.991176316;62.73385067;1.668371093;39.16181561;40.52866339
PORTUGAL;1.089994576;1.30709404;11.05650127;57.62809411;1.434947497;45.14090447;50.53477074
SINGAPORE;1.354813951;2.003259972;14.69033792;52.7722905;3.578560391;46.63771266;56.82167383
NEW ZEALAND;1.244501884;1.530775612;11.95511374;54.04409162;1.343385681;40.35651389;46.98272193
IRELAND;1.224943028;1.557020562;11.71893569;59.53603262;2.350542288;41.49247134;52.70066986
HUNGARY;0.931153025;1.115655581;8.616458597;61.91238663;2.610334268;42.27542346;43.62792211
ARGENTINA;0.842292833;0.833860412;7.175588285;61.70010455;2.153493996;36.7957042;44.05538984
ROMANIA;0.728576221;0.724689966;6.297632469;71.70069541;0.914543405;27.78128523;29.67110661
MALAYSIA;0.937154031;1.012370688;8.938756244;63.38110228;0.802423003;38.01577312;34.35970988
WALES;1.275065646;1.562290673;12.47153148;56.78885661;2.077042777;30.25598483;53.94561258
EGYPT;0.764566686;0.664003708;6.819708672;62.08955447;0.65046324;40.78961759;31.55315052
SAUDI ARABIA;1.059227405;1.768913442;10.72264306;58.1576451;1.159172054;59.60689472;37.96882652
CHILE;0.985995071;1.124847288;9.060179646;60.02030656;1.05015287;50.40480576;45.91915441
UKRAINE;0.553295694;0.563697858;4.370091529;73.37202119;0.701278352;37.81998611;28.65828576
THAILAND;0.932172395;1.083735445;8.591209483;61.5098522;1.616096717;44.09682157;39.39008165
PAKISTAN;0.844511045;1.009895013;7.769176177;63.28491061;0.48373808;44.24123276;26.21125827
SLOVAKIA;0.845249025;0.839637864;7.213735664;66.57044031;1.024184276;41.08621506;31.09623322
NORTHERN IRELAND;1.188294159;1.361783694;11.2270798;57.95083655;1.615604166;33.09671508;54.6193061
BULGARIA;0.696628079;0.723257632;5.878532348;67.64257826;1.035898678;40.3042746;35.8287238
CROATIA;0.787669929;0.952732474;6.936722877;66.66285527;1.179958015;35.04579114;31.75149092
SLOVENIA;0.954318014;1.181637561;9.305541032;59.91644016;1.278074059;41.92082912;40.28174438
INDONESIA;0.895383563;0.827747867;7.603560048;73.5378501;0.815539196;36.60037359;39.81114519
SERBIA;0.777306068;0.987925357;6.449595385;68.40413699;0.816889184;36.34135757;34.393441
COLOMBIA;0.978473295;1.345891454;8.670137371;64.5259383;1.347216151;54.80401118;41.03304459
TUNISIA;0.658849075;0.441716154;5.634216321;66.46189262;0.560485754;46.42023087;29.9421261
NIGERIA;0.636463229;0.527522302;4.396939818;68.89351967;0.545474632;31.85571851;28.07690287
CZECHOSLOVAKIA;0.399387671;0.222286794;3.097486561;70.6734214;0.140926921;15.86372221;0
GERMANY (GER DEM REP);0.346857414;0.148161867;2.188474241;73.78574862;0.091057814;10.76025558;0
ALGERIA;0.754871509;0.715446547;6.37363869;66.45251143;0.463265649;50.41936749;27.06698941
LITHUANIA;0.803194536;0.973383733;7.166219472;67.42250739;1.104604477;35.00656104;33.82413088
MOROCCO;0.714415769;0.732967517;6.224215965;66.783428;0.566748108;50.5387111;28.90057832
VIETNAM;1.025314658;1.239471043;9.570985903;59.44053003;0.89032427;69.02413477;38.27982488
